URL,Title,Date
https://www.ecb.europa.eu/press/annual-reports-financial-statements/wfs/2025/html/ecb.fst250701.en.html,Consolidated financial statement of the Eurosystem as at 27 June 2025,2025-07-01
https://www.ecb.europa.eu/press/pr/date/2025/html/ecb.pr250701_1~9439e5095b.en.html,ECB Consumer Expectations Survey results – May 2025,2025-07-01
https://www.ecb.europa.eu/press/pr/date/2025/html/ecb.pr250701~f4a98dd9dc.en.html,ECB commits to distributed ledger technology settlement plans with dual-track strategy,2025-07-01
https://www.ecb.europa.eu/press/pubbydate/2025/html/ecb.exploratoryworknewtechnologies202506.en.html,The Eurosystem’s exploratory work on new technologies for wholesale central bank money settlement,2025-07-01
https://www.ecb.europa.eu/press/key/date/2025/html/ecb.sp250630_1~ba0ef03e6f.en.html,Strategy assessment: lessons learned,2025-06-30
https://www.ecb.europa.eu/press/key/date/2025/html/ecb.sp250630~4a4409f0da.en.html,Opening remarks on the ECB strategy assessment press conference (with Q&A),2025-06-30
https://www.ecb.europa.eu/press/pr/date/2025/html/ecb.pr250630~aabf988af8.en.html,ECB’s Governing Council updates its monetary policy strategy,2025-06-30
https://www.ecb.europa.eu/mopo/strategy/strategy-review/ecb.strategyreview202506_strategy_statement.en.html,The ECB’s monetary policy strategy statement,2025-06-30
https://www.ecb.europa.eu/mopo/strategy/strategy-review/ecb.strategyreview202506_strategy_overview.en.html,An overview of the ECB’s monetary policy strategy,2025-06-30
https://www.ecb.europa.eu/press/stats/md/html/ecb.md2505~98b9138f72.en.html,Monetary developments in the euro area: May 2025,2025-06-30
https://www.ecb.europa.eu/press/key/date/2025/html/ecb.sp250627~de084f5b69.en.html,The quest for cheaper and faster cross-border payments: regional and global solutions,2025-06-27
https://www.ecb.europa.eu/press/govcdec/otherdec/2025/html/ecb.gc250627~89de677b59.en.html,Decisions taken by the Governing Council of the ECB (in addition to decisions setting interest rates),2025-06-27
https://www.ecb.europa.eu/press/blog/date/2025/html/ecb.blog20250627~e439c6cd07.en.html,Crossing two hurdles in one leap: how an EU savings product could boost returns and capital markets ,2025-06-27
https://www.ecb.europa.eu/press/key/date/2025/html/ecb.sp250626_1~56923f1fbb.en.html,Culture and the economy,2025-06-26
https://www.ecb.europa.eu/press/key/date/2025/html/ecb.sp250626~789f252414.en.pdf,Monetary policy and economic growth in a more fragmented world,2025-06-26
https://www.ecb.europa.eu/press/financial-stability-publications/macroprudential-bulletin/html/ecb.mpbu202506_02.en.html,A decade of borrower-based measures in the banking union,2025-06-25
https://www.ecb.europa.eu/press/financial-stability-publications/macroprudential-bulletin/html/ecb.mpbu202506_01.en.html,Residential real estate (RRE) lending standards: determinants and financial stability implications,2025-06-25
https://www.ecb.europa.eu/press/tvservices/podcast/html/ecb.pod250625_episode109.en.html,Adapting to change: Ensuring price stability in a new geopolitical era,2025-06-25
https://www.ecb.europa.eu/press/key/date/2025/html/ecb.sp250624~6bc6bae5ac.en.html,Monetary policy: new challenges,2025-06-24
https://www.ecb.europa.eu/press/annual-reports-financial-statements/wfs/2025/html/ecb.fst250624.en.html,Consolidated financial statement of the Eurosystem as at 20 June 2025,2025-06-24
https://www.ecb.europa.eu/press/research-publications/resbull/2025/html/ecb.rb250624~a3ba3cb524.en.html,"Climate change, firms and aggregate productivity",2025-06-24
https://www.ecb.europa.eu/press/key/date/2025/html/ecb.sp250623~fd501a6cab.en.html,Hearing of the Committee on Economic and Monetary Affairs of the European Parliament,2025-06-23
https://www.ecb.europa.eu/press/pr/date/2025/html/ecb.pr250623~1b99432ba8.en.html,ECB publishes consolidated banking data for end-December 2024,2025-06-23
https://www.ecb.europa.eu/press/blog/date/2025/html/ecb.blog20250620~13431554af.en.html,Hyperinflation: trauma and its reconstruction ,2025-06-20
https://www.ecb.europa.eu/press/economic-bulletin/html/eb202504.en.html,"Economic Bulletin Issue 4, 2025",2025-06-20
https://www.ecb.europa.eu/press/economic-bulletin/focus/2025/html/ecb.ebbox202504_07~1f03180cbe.en.html,Liquidity conditions and monetary policy operations from 5 February to 22 April 2025,2025-06-20
https://www.ecb.europa.eu/press/economic-bulletin/focus/2025/html/ecb.ebbox202504_04~e5853de674.en.html,Where do we stand with inflationary pressures arising from price resetting?,2025-06-20
https://www.ecb.europa.eu/press/economic-bulletin/focus/2025/html/ecb.ebbox202504_03~82e0d4b61c.en.html,The outlook for euro area business investment – findings from an ECB survey of large firms,2025-06-20
https://www.ecb.europa.eu/press/economic-bulletin/focus/2025/html/ecb.ebbox202504_02~b993bf44eb.en.html,US trade policies and the activity of US multinational enterprises in the euro area,2025-06-20
https://www.ecb.europa.eu/press/economic-bulletin/articles/2025/html/ecb.ebart202504_02~088e848790.en.html,Advancing the capital markets union in Europe: a roadmap for harmonising securities post-trading,2025-06-20
https://www.ecb.europa.eu/press/key/date/2025/html/ecb.sp250619~1cd73165da.en.html,Strengthening economies in a stormy and fragmenting world,2025-06-19
https://www.ecb.europa.eu/press/economic-bulletin/articles/2025/html/ecb.ebart202504_01~b621c01098.en.html,The transmission of monetary policy: from mortgage rates to consumption,2025-06-18
https://www.ecb.europa.eu/press/stats/bop/2025/html/ecb.bp.20250618~99975c60fc.en.html,Euro area monthly balance of payments: April 2025,2025-06-18
https://www.ecb.europa.eu/press/key/date/2025/html/ecb.sp250618~3394068884.en.html,Europe at a crossroads: it is high time to complete the Single Market,2025-06-18
https://www.ecb.europa.eu/press/annual-reports-financial-statements/wfs/2025/html/ecb.fst250617.en.html,Consolidated financial statement of the Eurosystem as at 13 June 2025,2025-06-17
https://www.ecb.europa.eu/press/pr/date/2025/html/ecb.pr250617~57930cda2f.en.html,Eurosystem launches single collateral management system,2025-06-17
https://www.ecb.europa.eu/press/economic-bulletin/focus/2025/html/ecb.ebbox202504_01~2f42a77166.en.html,US financial conditions and their link to economic activity: the role of equity valuations,2025-06-17
https://www.ecb.europa.eu/press/blog/date/2025/html/ecb.blog20250617~7de14a39c3.en.html,Europe’s “global euro” moment,2025-06-17
https://www.ecb.europa.eu/press/key/date/2025/html/ecb.sp250616~0a10c1a4e4.en.pdf,Modernising central bank money in response to digitalisation and fragmentation,2025-06-16
https://www.ecb.europa.eu/press/economic-bulletin/focus/2025/html/ecb.ebbox202504_06~a6c4afac10.en.html,Determinants of inflation expectations of firms in the SAFE,2025-06-16
https://www.ecb.europa.eu/press/economic-bulletin/focus/2025/html/ecb.ebbox202504_05~2dc91bb9e3.en.html,Financial market volatility and economic policy uncertainty: bridging the gap,2025-06-16
https://www.ecb.europa.eu/press/inter/date/2025/html/ecb.in250616~e15b7a2a3f.en.html,Interview with Reuters,2025-06-16
https://www.ecb.europa.eu/press/inter/date/2025/html/ecb.in250614~f35660c448.en.html,Interview with Xinhua News Agency,2025-06-14
https://www.ecb.europa.eu/press/key/date/2025/html/ecb.sp250612_2~ebc4589240.en.html,What good supervision looks like,2025-06-12
https://www.ecb.europa.eu/press/pr/date/2025/html/ecb.pr250612_1~6afb2dc0f9.en.html,EU structural financial indicators: end of 2024,2025-06-12
https://www.ecb.europa.eu/press/key/date/2025/html/ecb.sp250612_1~33853c42a1.en.html,“More Europe” and financial integration,2025-06-12
https://www.ecb.europa.eu/press/key/date/2025/html/ecb.sp250612~d4cef0aba6.en.pdf,Monetary policy and economic growth in a more fragmented world,2025-06-12
https://www.ecb.europa.eu/press/pr/date/2025/html/ecb.pr250612~484d529368.en.html,ECB adds indicator of nature loss in climate-related financial disclosures as portfolio emissions continue to decline,2025-06-12
https://www.ecb.europa.eu/press/key/date/2025/html/ecb.sp250611_1~cd38594925.en.html,The euro area bond market,2025-06-11
https://www.ecb.europa.eu/press/pr/date/2025/html/ecb.pr250611_1~cacafe182f.en.html,International use of the euro broadly stable in 2024,2025-06-11
https://www.ecb.europa.eu/press/pr/date/2025/html/ecb.pr250611_2~63f4c6d0af.en.html,New data release: ECB wage tracker indicates decline in negotiated wage growth over course of year,2025-06-11
https://www.ecb.europa.eu/press/other-publications/ire/article/html/ecb.ireart202506_02~a8e66f5ea3.en.html,Global trade invoicing patterns: new insights and the influence of geopolitics,2025-06-11
https://www.ecb.europa.eu/press/other-publications/ire/article/html/ecb.ireart202506_01~a8b7241329.en.html,Geopolitics and foreign holdings of euro area government debt,2025-06-11
https://www.ecb.europa.eu/press/other-publications/ire/focus/html/ecb.irebox202506_03~17c27de367.en.html,Geopolitics and global interlinking of fast payment systems,2025-06-11
https://www.ecb.europa.eu/press/other-publications/ire/focus/html/ecb.irebox202506_02~e5ae550b00.en.html,Reverse Yankee bonds,2025-06-11
https://www.ecb.europa.eu/press/other-publications/ire/focus/html/ecb.irebox202506_01~f93400a4aa.en.html,Gold demand: the role of the official sector and geopolitics,2025-06-11
https://www.ecb.europa.eu/press/pr/date/2025/html/ecb.pr250611~0299725664.en.html,ECB and People’s Bank of China sign Memorandum of Understanding on cooperation ,2025-06-11
https://www.ecb.europa.eu/press/key/date/2025/html/ecb.sp250611~8936f0665d.en.html,Drawing a common map: sustaining global cooperation in a fragmenting world,2025-06-11
https://www.ecb.europa.eu/press/other-publications/ire/html/ecb.ire202506.en.html,The international role of the euro,2025-06-10
https://www.ecb.europa.eu/press/pr/date/2025/html/ecb.pr250610~f79520493a.en.html,ECB appoints Thomas Vlassopoulos as Director General Market Infrastructure and Payments,2025-06-10
https://www.ecb.europa.eu/press/annual-reports-financial-statements/wfs/2025/html/ecb.fst250610.en.html,Consolidated financial statement of the Eurosystem as at 6 June 2025,2025-06-10
https://www.ecb.europa.eu/press/blog/date/2025/html/ecb.blog20250610~f10b8a9a5e.en.html,Reading the market’s pulse: monitoring investors’ risk appetite,2025-06-10
https://www.ecb.europa.eu/pub/euroareafinancialaccounts/html/ecb.eaqfa202506.en.html,Euro area and national quarterly financial accounts – Quality report 2024,2025-06-10
https://www.ecb.europa.eu/press/key/date/2025/html/ecb.sp250609~3b37304c9f.en.html,The rule of law as a constitutional pillar of European central banking,2025-06-09
https://www.ecb.europa.eu/press/key/date/2025/html/ecb.sp250607_1~37e0507dbc.en.pdf,Is inflation still global in a more fragmented world?,2025-06-07
https://www.ecb.europa.eu/press/key/date/2025/html/ecb.sp250607~e6ed4778bc.en.html,Stemming the tide: safeguarding our ocean and economy,2025-06-07
https://www.ecb.europa.eu/press/pr/date/2025/html/ecb.pr250606~682ddd73ec.en.html,ECB to add new reporting agents to the €STR,2025-06-06
https://www.ecb.europa.eu/press/projections/html/ecb.projections202506_eurosystemstaff~16a68fbaf4.en.html,"Eurosystem staff macroeconomic projections for the euro area, June 2025",2025-06-05
